BN	TN	SN	seqNum	exeType	prepTime	exeTime	iti	hand	cuePress	cueMask	press1	press2	press3	press4	press5	press6	RT	ET	MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	
3	17	15	4	1	8000	2500	2000	2	135315	******	1	3	5	3	1	5	448.000	1176.000	1624.000	0	0	2	1	3	5	3	1	5	8448.000	8664.000	8884.000	9206.000	9394.000	9554.000	0.000	0.000	169000	169162	12506	170	103	1	0	
3	18	15	6	0	4000	2500	2000	2	513153	******	5	1	3	1	5	3	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	181500	181672	8506	182	612	1	0	
3	19	15	2	0	4000	2500	16000	2	333333	******	3	3	3	3	3	3	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	190000	190182	22506	191	116	1	0	
3	20	15	4	1	6000	2500	1000	2	135315	******	1	3	5	3	1	5	456.000	1160.000	1616.000	0	0	2	1	3	5	3	1	5	6456.000	6636.000	6892.000	7196.000	7358.000	7532.000	0.000	0.000	212500	212692	9506	213	620	1	0	
3	21	15	5	1	6000	2500	2000	2	351531	******	3	5	1	5	3	1	468.000	1252.000	1720.000	0	0	2	3	5	1	5	3	1	6468.000	6746.000	6940.000	7222.000	7380.000	7596.000	0.000	0.000	222000	222202	10506	223	126	1	0	
3	22	15	3	1	6000	2500	1000	2	555555	******	5	5	5	5	5	5	426.000	1282.000	1708.000	0	0	2	5	5	5	5	5	5	6426.000	6686.000	6928.000	7118.000	7356.000	7656.000	0.000	0.000	232500	232711	9506	233	631	1	0	
3	23	15	4	0	4000	2500	4000	2	135315	******	1	3	5	3	1	5	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	242000	242222	10506	243	140	1	0	
3	24	15	5	1	4000	2500	1000	2	351531	******	3	5	1	5	3	1	468.000	1144.000	1612.000	0	0	2	3	5	1	5	3	1	4468.000	4704.000	4894.000	5194.000	5310.000	5492.000	0.000	0.000	252500	252732	7506	253	646	1	0	
3	25	15	2	0	4000	2500	1000	2	333333	******	3	3	3	3	3	3	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	260000	260242	7506	261	154	1	0	
3	26	15	2	1	4000	2500	1000	2	333333	******	3	3	3	3	3	3	414.000	1440.000	1854.000	0	0	2	3	3	3	3	3	3	4414.000	4700.000	4948.000	5228.000	5498.000	5756.000	0.000	0.000	267500	267752	7506	268	662	1	0	
